Palomar	N 33d21m21.6s E -116d51m46.8s
JD	filter	RA_center (hh:mm:ss)	DEC_center (dd:mm:ss)
2458303.64551	u	04:53:19.9992	-14:43:38.172
2458303.64898	q	04:53:19.9992	-14:43:38.172
2458303.64898	i	04:53:19.9992	-14:43:38.172
2458303.64898	z	04:53:19.9992	-14:43:38.172
2458304.64551	u	04:53:19.9992	-14:43:38.172
2458304.64898	q	04:53:19.9992	-14:43:38.172
2458304.64898	i	04:53:19.9992	-14:43:38.172
2458304.64898	z	04:53:19.9992	-14:43:38.172
2458305.64551	u	04:53:19.9992	-14:43:38.172
2458305.64898	q	04:53:19.9992	-14:43:38.172
2458305.64898	i	04:53:19.9992	-14:43:38.172
2458305.64898	z	04:53:19.9992	-14:43:38.172
2458306.64551	u	04:53:19.9992	-14:43:38.172
2458306.64898	q	04:53:19.9992	-14:43:38.172
2458306.64898	i	04:53:19.9992	-14:43:38.172
2458306.64898	z	04:53:19.9992	-14:43:38.172
2458307.64551	u	04:53:19.9992	-14:43:38.172
2458307.64898	q	04:53:19.9992	-14:43:38.172
2458307.64898	i	04:53:19.9992	-14:43:38.172
2458307.64898	z	04:53:19.9992	-14:43:38.172
2458308.64551	u	04:53:19.9992	-14:43:38.172
2458308.64898	q	04:53:19.9992	-14:43:38.172
2458308.64898	i	04:53:19.9992	-14:43:38.172
2458308.64898	z	04:53:19.9992	-14:43:38.172
2458309.64551	u	04:53:19.9992	-14:43:38.172
2458309.64898	q	04:53:19.9992	-14:43:38.172
2458309.64898	i	04:53:19.9992	-14:43:38.172
2458309.64898	z	04:53:19.9992	-14:43:38.172
2458310.64551	u	04:53:19.9992	-14:43:38.172
2458310.64898	q	04:53:19.9992	-14:43:38.172
2458310.64898	i	04:53:19.9992	-14:43:38.172
2458310.64898	z	04:53:19.9992	-14:43:38.172
2458311.64551	u	04:53:19.9992	-14:43:38.172
2458311.64898	q	04:53:19.9992	-14:43:38.172
2458311.64898	i	04:53:19.9992	-14:43:38.172
2458311.64898	z	04:53:19.9992	-14:43:38.172
2458312.64551	u	04:53:19.9992	-14:43:38.172
2458312.64898	q	04:53:19.9992	-14:43:38.172
2458312.64898	i	04:53:19.9992	-14:43:38.172
2458312.64898	z	04:53:19.9992	-14:43:38.172
